regime	cls	n	med_I	se_of_med	refv	z0	vsref	zref
all genes (as published)	not_induced	4567	0.311501668272874	0.00679254104789671	0.311501668272874	45.8593722255576	0	0
all genes (as published)	Msn24_only	267	-1.20591309120139	0.032205576296676	0.311501668272874	-37.4442326413471	-1.51741475947426	-47.1165224772233
all genes (as published)	Hsf1_only	87	-0.0240411447762945	0.0523579717752291	0.311501668272874	-0.459168756182961	-0.335542813049169	-6.40862893791307
all genes (as published)	TF_independent	689	-0.350630610055872	0.0149087564757617	0.311501668272874	-23.5184343258889	-0.662132278328746	-44.4123075861643
all genes (as published)	unassigned	311	-0.45250030331737	0.028650272875104	0.311501668272874	-15.7939264763714	-0.764001971590244	-26.666481499872
all genes (as published)	redundant	115	-1.47617143267816	0.0416475906207993	0.311501668272874	-35.4443416935851	-1.78767310095103	-42.9238060186427
all genes (as published)	both_required	24	-0.196443235032695	0.12558105994829	0.311501668272874	-1.56427438272605	-0.507944903305569	-4.04475725491345
response classes excluded from normalisation	not_induced	4567	0.204138736520679	0.00671320368290638	0.204138736520679	30.4085420557805	0	0
response classes excluded from normalisation	Msn24_only	267	-1.31970283608731	0.034659486161318	0.204138736520679	-38.0762377706619	-1.52384157260799	-43.9660751320856
response classes excluded from normalisation	Hsf1_only	87	-0.134017312163243	0.0528643236990298	0.204138736520679	-2.5351182571868	-0.338156048683922	-6.39667785422039
response classes excluded from normalisation	TF_independent	689	-0.459897124907402	0.0158249095571116	0.204138736520679	-29.0615957865445	-0.664035861428081	-41.9614316929647
response classes excluded from normalisation	unassigned	311	-0.553011013379707	0.0305557972164062	0.204138736520679	-18.0983991176241	-0.757149749900386	-24.7792503837489
response classes excluded from normalisation	redundant	115	-1.58653089393564	0.0431049813228694	0.204138736520679	-36.8062076643078	-1.79066963045632	-41.5420579130672
response classes excluded from normalisation	both_required	24	-0.311522410984344	0.128711305043825	0.204138736520679	-2.42031895238941	-0.515661147505023	-4.00633920485419
