pair	time	r_naive_bothblocks	r_same_block	r_cross_block	artefact
ScxSp	15	-0.668844837970915	-0.601587936560438	-0.205201065723173	-0.396386870837265
ScxSp	30	-0.473807619852407	-0.590272942010321	-0.0825409230308238	-0.507732018979497
ScxSp	60	-0.48714418528989	-0.581208232076477	-0.0499873410337712	-0.531220891042706
ScxSk	15	-0.694568484517439	-0.634632161583432	-0.139905171051839	-0.494726990531593
ScxSk	30	-0.630253903538339	-0.599697718642553	-0.155207355951268	-0.444490362691285
ScxSk	60	-0.570512798893618	-0.642235008236931	-0.142930372100848	-0.499304636136083
ScxSu	15	-0.537605313160549	-0.600538052880139	-0.212958648247902	-0.387579404632237
ScxSu	30	-0.507651012225046	-0.526618939403267	-0.278114932259023	-0.248504007144245
ScxSu	60	-0.457023778021747	-0.520237861786416	-0.183249916650784	-0.336987945135631
SpxSk	15	-0.637848552234234	-0.664591559035225	-0.409959079205285	-0.25463247982994
SpxSk	30	-0.423711508720077	-0.452430080870604	-0.27461816994998	-0.177811910920624
SpxSk	60	-0.320358400181278	-0.399098865329801	-0.176152120669674	-0.222946744660127
SpxSu	15	-0.34432683752495	-0.427552208474247	-0.145039662610672	-0.282512545863575
SpxSu	30	-0.244837037729188	-0.26206625533497	-0.105125016670012	-0.156941238664958
SpxSu	60	-0.197639190847325	-0.338552469213858	-0.0412479326511308	-0.297304536562727
SkxSu	15	-0.539004597536561	-0.493834271423332	-0.286567986525525	-0.207266284897807
SkxSu	30	-0.440137527423347	-0.535344909210521	-0.212909859009137	-0.322435050201383
SkxSu	60	-0.360304784142634	-0.437361836883192	-0.148363170056286	-0.288998666826907
