cond	genotype	share	sd	nonadd
25_0	Double.KDKO	0.0541575305206068	0.0121084811211321	-0.011399279972367
25_0	HSF1.KD	0.0643312748214934	0.0122266739400278	-0.011399279972367
25_0	MSN24.KO	0.0539742824610204	0.0059004024189888	-0.011399279972367
25_0	Wildtype	0.0527487467895399	0.00392976229988758	-0.011399279972367
37_10	Double.KDKO	0.0757571957811299	0.00474865765499789	-0.00500107652652082
37_10	HSF1.KD	0.223441057235396	0.0327305177537752	-0.00500107652652082
37_10	MSN24.KO	0.119994118723078	0.00643915020368248	-0.00500107652652082
37_10	Wildtype	0.262676903650824	0.0441591740899151	-0.00500107652652082
37_30	Double.KDKO	0.070313880758662	0.0103881215627351	-0.157213822905875
37_30	HSF1.KD	0.278504925188311	0.0118433021583272	-0.157213822905875
37_30	MSN24.KO	0.104123267106645	0.0123366282889198	-0.157213822905875
37_30	Wildtype	0.15510048863042	0.00302359678938708	-0.157213822905875
42_10	Double.KDKO	0.0909490185611772	0.000163866962432605	-0.0519238069580825
42_10	HSF1.KD	0.245577788998464	0.0311876361035987	-0.0519238069580825
42_10	MSN24.KO	0.159943332094954	0.00589262070132888	-0.0519238069580825
42_10	Wildtype	0.262648295574157	0.0390025428463565	-0.0519238069580825
42_30	Double.KDKO	0.106153936278056	0.00546473980387522	-0.0512020299772867
42_30	HSF1.KD	0.340551608822276	0.0455317397144581	-0.0512020299772867
42_30	MSN24.KO	0.173764396798646	0.0138212721756722	-0.0512020299772867
42_30	Wildtype	0.356960039365579	0.00528442968541867	-0.0512020299772867
